family,memory_mode,reasoning_depth,grid_rows,grid_cols,demonstrations,seed,exact_match,cell_accuracy,correct_cells,total_cells,memory_norm,effective_rank,entropy,interference_score,reconstruction_error,mean_sparsity,reasoning_steps,halting_step
ColorTransformation,baseline,8,5,5,3,7,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5267857142857143,9,-1
ColorTransformation,baseline,8,5,5,3,8,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.49637276785714285,9,-1
ColorTransformation,baseline,8,5,5,3,9,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5036272321428571,9,-1
ColorTransformation,baseline,8,5,5,3,10,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.4790736607142857,9,-1
ColorTransformation,baseline,8,5,5,3,11,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.49386160714285715,9,-1
ColorTransformation,baseline,8,5,5,3,12,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.4927455357142857,9,-1
ColorTransformation,baseline,8,5,5,3,13,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5186941964285714,9,-1
ColorTransformation,baseline,8,5,5,3,14,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.49581473214285715,9,-1
ColorTransformation,baseline,8,5,5,3,15,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.47935267857142855,9,-1
ColorTransformation,baseline,8,5,5,3,16,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.4829799107142857,9,-1
ColorTransformation,baseline,8,5,5,3,17,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5041852678571429,9,-1
ColorTransformation,baseline,8,5,5,3,18,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.5061383928571429,9,-1
ColorTransformation,baseline,8,5,5,3,19,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.4946986607142857,9,-1
ColorTransformation,baseline,8,5,5,3,20,True,1.0,25,25,0.0,0.0,0.0,0.0,0.0,0.49051339285714285,9,-1
ColorTransformation,simple_hebbian,1,5,5,3,1,True,1.0,25,25,0.18998852372169495,3.0,0.4944727420806885,0.0,0.0,0.5061383928571429,2,-1
ColorTransformation,simple_hebbian,1,5,5,3,2,True,1.0,25,25,0.27776333689689636,3.0,0.30913418531417847,0.0,0.0,0.5008370535714286,2,-1
ColorTransformation,simple_hebbian,1,5,5,3,3,True,1.0,25,25,0.18043619394302368,3.0,0.6300252079963684,0.0,0.0,0.5178571428571429,2,-1
ColorTransformation,simple_hebbian,1,5,5,3,4,True,1.0,25,25,0.11351454257965088,3.0,0.5802952647209167,0.0,0.0,0.5139508928571429,2,-1
ColorTransformation,simple_hebbian,1,5,5,3,5,True,1.0,25,25,0.17421764135360718,3.0,0.4532542824745178,0.0,0.0,0.5164620535714286,2,-1
ColorTransformation,simple_hebbian,1,5,5,3,6,True,1.0,25,25,0.25370994210243225,3.0,0.5852698683738708,0.0,0.0,0.5128348214285714,2,-1
ColorTransformation,simple_hebbian,1,5,5,3,7,True,1.0,25,25,0.14766304194927216,3.0,0.47872114181518555,0.0,0.0,0.5267857142857143,2,-1
ColorTransformation,simple_hebbian,1,5,5,3,8,True,1.0,25,25,0.1845095008611679,3.0,0.5645678639411926,0.0,0.0,0.49637276785714285,2,-1
ColorTransformation,simple_hebbian,1,5,5,3,9,True,1.0,25,25,0.1620536893606186,3.0,0.5027254223823547,0.0,0.0,0.5036272321428571,2,-1
ColorTransformation,simple_hebbian,1,5,5,3,10,True,1.0,25,25,0.150138258934021,3.0,0.5970234870910645,0.0,0.0,0.4790736607142857,2,-1
ColorTransformation,simple_hebbian,1,5,5,3,11,True,1.0,25,25,0.1874423772096634,3.0,0.559032678604126,0.0,0.0,0.49386160714285715,2,-1
ColorTransformation,simple_hebbian,1,5,5,3,12,True,1.0,25,25,0.2305600941181183,3.0,0.36266064643859863,0.0,0.0,0.4927455357142857,2,-1
ColorTransformation,simple_hebbian,1,5,5,3,13,True,1.0,25,25,0.15157058835029602,3.0,0.4272361099720001,0.0,0.0,0.5186941964285714,2,-1
ColorTransformation,simple_hebbian,1,5,5,3,14,True,1.0,25,25,0.23347018659114838,3.0,0.5296438932418823,0.0,0.0,0.49581473214285715,2,-1
ColorTransformation,simple_hebbian,1,5,5,3,15,True,1.0,25,25,0.20402385294437408,3.0,0.4583987593650818,0.0,0.0,0.47935267857142855,2,-1
ColorTransformation,simple_hebbian,1,5,5,3,16,True,1.0,25,25,0.1802046149969101,3.0,0.47038137912750244,0.0,0.0,0.4829799107142857,2,-1
ColorTransformation,simple_hebbian,1,5,5,3,17,True,1.0,25,25,0.2041788250207901,3.0,0.384290486574173,0.0,0.0,0.5041852678571429,2,-1
ColorTransformation,simple_hebbian,1,5,5,3,18,True,1.0,25,25,0.1815047562122345,3.0,0.5633587837219238,0.0,0.0,0.5061383928571429,2,-1
ColorTransformation,simple_hebbian,1,5,5,3,19,True,1.0,25,25,0.12986193597316742,3.0,0.6937608122825623,0.0,0.0,0.4946986607142857,2,-1
ColorTransformation,simple_hebbian,1,5,5,3,20,True,1.0,25,25,0.13425618410110474,3.0,0.6047593355178833,0.0,0.0,0.49051339285714285,2,-1
ColorTransformation,simple_hebbian,4,5,5,3,1,True,1.0,25,25,0.18998852372169495,3.0,0.4944727420806885,0.0,0.0,0.5061383928571429,5,-1
ColorTransformation,simple_hebbian,4,5,5,3,2,True,1.0,25,25,0.27776333689689636,3.0,0.30913418531417847,0.0,0.0,0.5008370535714286,5,-1
ColorTransformation,simple_hebbian,4,5,5,3,3,True,1.0,25,25,0.18043619394302368,3.0,0.6300252079963684,0.0,0.0,0.5178571428571429,5,-1
ColorTransformation,simple_hebbian,4,5,5,3,4,True,1.0,25,25,0.11351454257965088,3.0,0.5802952647209167,0.0,0.0,0.5139508928571429,5,-1
ColorTransformation,simple_hebbian,4,5,5,3,5,True,1.0,25,25,0.17421764135360718,3.0,0.4532542824745178,0.0,0.0,0.5164620535714286,5,-1
ColorTransformation,simple_hebbian,4,5,5,3,6,True,1.0,25,25,0.25370994210243225,3.0,0.5852698683738708,0.0,0.0,0.5128348214285714,5,-1
ColorTransformation,simple_hebbian,4,5,5,3,7,True,1.0,25,25,0.14766304194927216,3.0,0.47872114181518555,0.0,0.0,0.5267857142857143,5,-1
ColorTransformation,simple_hebbian,4,5,5,3,8,True,1.0,25,25,0.1845095008611679,3.0,0.5645678639411926,0.0,0.0,0.49637276785714285,5,-1
ColorTransformation,simple_hebbian,4,5,5,3,9,True,1.0,25,25,0.1620536893606186,3.0,0.5027254223823547,0.0,0.0,0.5036272321428571,5,-1
ColorTransformation,simple_hebbian,4,5,5,3,10,True,1.0,25,25,0.150138258934021,3.0,0.5970234870910645,0.0,0.0,0.4790736607142857,5,-1
ColorTransformation,simple_hebbian,4,5,5,3,11,True,1.0,25,25,0.1874423772096634,3.0,0.559032678604126,0.0,0.0,0.49386160714285715,5,-1
ColorTransformation,simple_hebbian,4,5,5,3,12,True,1.0,25,25,0.2305600941181183,3.0,0.36266064643859863,0.0,0.0,0.4927455357142857,5,-1
ColorTransformation,simple_hebbian,4,5,5,3,13,True,1.0,25,25,0.15157058835029602,3.0,0.4272361099720001,0.0,0.0,0.5186941964285714,5,-1
ColorTransformation,simple_hebbian,4,5,5,3,14,True,1.0,25,25,0.23347018659114838,3.0,0.5296438932418823,0.0,0.0,0.49581473214285715,5,-1
ColorTransformation,simple_hebbian,4,5,5,3,15,True,1.0,25,25,0.20402385294437408,3.0,0.4583987593650818,0.0,0.0,0.47935267857142855,5,-1
ColorTransformation,simple_hebbian,4,5,5,3,16,True,1.0,25,25,0.1802046149969101,3.0,0.47038137912750244,0.0,0.0,0.4829799107142857,5,-1
ColorTransformation,simple_hebbian,4,5,5,3,17,True,1.0,25,25,0.2041788250207901,3.0,0.384290486574173,0.0,0.0,0.5041852678571429,5,-1
ColorTransformation,simple_hebbian,4,5,5,3,18,True,1.0,25,25,0.1815047562122345,3.0,0.5633587837219238,0.0,0.0,0.5061383928571429,5,-1
ColorTransformation,simple_hebbian,4,5,5,3,19,True,1.0,25,25,0.12986193597316742,3.0,0.6937608122825623,0.0,0.0,0.4946986607142857,5,-1
ColorTransformation,simple_hebbian,4,5,5,3,20,True,1.0,25,25,0.13425618410110474,3.0,0.6047593355178833,0.0,0.0,0.49051339285714285,5,-1
ColorTransformation,simple_hebbian,8,5,5,3,1,True,1.0,25,25,0.18998852372169495,3.0,0.4944727420806885,0.0,0.0,0.5061383928571429,9,-1
ColorTransformation,simple_hebbian,8,5,5,3,2,True,1.0,25,25,0.27776333689689636,3.0,0.30913418531417847,0.0,0.0,0.5008370535714286,9,-1
ColorTransformation,simple_hebbian,8,5,5,3,3,True,1.0,25,25,0.18043619394302368,3.0,0.6300252079963684,0.0,0.0,0.5178571428571429,9,-1
ColorTransformation,simple_hebbian,8,5,5,3,4,True,1.0,25,25,0.11351454257965088,3.0,0.5802952647209167,0.0,0.0,0.5139508928571429,9,-1
ColorTransformation,simple_hebbian,8,5,5,3,5,True,1.0,25,25,0.17421764135360718,3.0,0.4532542824745178,0.0,0.0,0.5164620535714286,9,-1
ColorTransformation,simple_hebbian,8,5,5,3,6,True,1.0,25,25,0.25370994210243225,3.0,0.5852698683738708,0.0,0.0,0.5128348214285714,9,-1
ColorTransformation,simple_hebbian,8,5,5,3,7,True,1.0,25,25,0.14766304194927216,3.0,0.47872114181518555,0.0,0.0,0.5267857142857143,9,-1
ColorTransformation,simple_hebbian,8,5,5,3,8,True,1.0,25,25,0.1845095008611679,3.0,0.5645678639411926,0.0,0.0,0.49637276785714285,9,-1
ColorTransformation,simple_hebbian,8,5,5,3,9,True,1.0,25,25,0.1620536893606186,3.0,0.5027254223823547,0.0,0.0,0.5036272321428571,9,-1
ColorTransformation,simple_hebbian,8,5,5,3,10,True,1.0,25,25,0.150138258934021,3.0,0.5970234870910645,0.0,0.0,0.4790736607142857,9,-1
ColorTransformation,simple_hebbian,8,5,5,3,11,True,1.0,25,25,0.1874423772096634,3.0,0.559032678604126,0.0,0.0,0.49386160714285715,9,-1
ColorTransformation,simple_hebbian,8,5,5,3,12,True,1.0,25,25,0.2305600941181183,3.0,0.36266064643859863,0.0,0.0,0.4927455357142857,9,-1
ColorTransformation,simple_hebbian,8,5,5,3,13,True,1.0,25,25,0.15157058835029602,3.0,0.4272361099720001,0.0,0.0,0.5186941964285714,9,-1
ColorTransformation,simple_hebbian,8,5,5,3,14,True,1.0,25,25,0.23347018659114838,3.0,0.5296438932418823,0.0,0.0,0.49581473214285715,9,-1
ColorTransformation,simple_hebbian,8,5,5,3,15,True,1.0,25,25,0.20402385294437408,3.0,0.4583987593650818,0.0,0.0,0.47935267857142855,9,-1
ColorTransformation,simple_hebbian,8,5,5,3,16,True,1.0,25,25,0.1802046149969101,3.0,0.47038137912750244,0.0,0.0,0.4829799107142857,9,-1
ColorTransformation,simple_hebbian,8,5,5,3,17,True,1.0,25,25,0.2041788250207901,3.0,0.384290486574173,0.0,0.0,0.5041852678571429,9,-1
ColorTransformation,simple_hebbian,8,5,5,3,18,True,1.0,25,25,0.1815047562122345,3.0,0.5633587837219238,0.0,0.0,0.5061383928571429,9,-1
ColorTransformation,simple_hebbian,8,5,5,3,19,True,1.0,25,25,0.12986193597316742,3.0,0.6937608122825623,0.0,0.0,0.4946986607142857,9,-1
ColorTransformation,simple_hebbian,8,5,5,3,20,True,1.0,25,25,0.13425618410110474,3.0,0.6047593355178833,0.0,0.0,0.49051339285714285,9,-1
